Sample_ID	Experiment	Flow cell	Plasmid	Plasmid Loc	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA
PBEH2-52	5	A	T7init VR-20	T7_initiation_series/T7_init_VR-20.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-53	5	A	pFC9	pFC9.gb	1	-	-	-	-	+	-	-	-	-
PBEH2-54	5	A	pFC9	pFC9.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-55	5	A	pFC9	pFC9.gb	1	-	-	+	-	-	+	-	-	-
PBEH2-56	5	A	pFC9	pFC9.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-57	5	A	pFC53	pFC53.gb	1	-	-	-	-	+	-	-	-	-
PBEH2-58	5	A	pFC53	pFC53.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-59	5	A	pFC53	pFC53.gb	1	-	-	+	-	-	+	-	-	-
PBEH2-60	5	A	pFC53	pFC53.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-61	6	A	T3termsh VRmix	T3short_termination_series	31	-	-	-	-	-	-	-	-	-
PBEH2-62	6	A	T3termsh VRmix	T3short_termination_series	31	-	-	+	-	-	-	-	-	-
PBEH2-63	6	A	T3termsh VRmix	T3short_termination_series	31	-	-	+	+	-	-	-	-	-
PBEH2-64	6	A	T3termsh VRmix	T3short_termination_series	31	ScaI	-	-	-	-	-	-	-	-
PBEH2-65	6	A	T3termsh VRmix	T3short_termination_series	31	ScaI	-	+	-	-	-	-	-	-
PBEH2-66	6	A	T3termsh VRmix	T3short_termination_series	31	ScaI	-	+	+	-	-	-	-	-
PBEH2-67	7	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	-	-	-	-	-	-	-
PBEH2-68	7	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	-	-	-	-	-	-
PBEH2-69	7	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	+	-	-	-	-	-
PBEH2-70	7	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	-	-	+	-	-	-	-
PBEH2-71	7	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	-	+	-	-	-	-
PBEH2-72	7	B	pFC8T1T2init VRmix	Tac_initiation_series	31	-	-	+	+	+	-	-	-	-
PBEH2-73	8	A	pFC9	pFC9.gb	1	-	-	+	-	-	-	-	-	-
PBEH2-74	8	A	pFC9	pFC9.gb	1	-	-	+	+	-	-	-	-	-
PBEH2-75	8	A	pFC9	pFC9.gb	1	HindIII	-	+	-	-	-	-	+	-
PBEH2-76	8	A	pFC9	pFC9.gb	1	HindIII	-	+	+	-	-	-	+	-
PBEH2-77	8	A	pFC9	pFC9.gb	1	-	-	+	-	+	-	-	-	-
PBEH2-78	8	A	pFC9	pFC9.gb	1	-	-	+	+	+	-	-	-	-
PBEH2-79	8	A	pFC9	pFC9.gb	1	HindIII	-	+	-	+	-	-	+	-
PBEH2-80	8	A	pFC9	pFC9.gb	1	HindIII	-	+	+	+	-	-	+	-
PBEH2-81	9	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA8	+	-	-	-	-	-	-
PBEH2-82	9	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA8	+	+	-	-	-	-	-
PBEH2-83	9	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA11	+	-	-	-	-	-	-
PBEH2-84	9	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	sgRNA11	+	+	-	-	-	-	-
PBEH2-85	9	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	-	+	-	-	-	-	-	-
PBEH2-86	9	B	pFC8T1T2	pFC8tacT1T2.gb	1	BsaI-v2	-	+	+	-	-	-	-	-
PBEH2-87	10	A	VRv2 Mix	T7_initiation_series	7	-	-	+	-	-	-	-	-	-
PBEH2-88	10	A	VRv2 Mix	T7_initiation_series	7	-	-	+	+	-	-	-	-	-
PBEH2-89	10	A	VRv2 Mix	T7_initiation_series	7	BsaI-v2	-	+	-	-	-	-	-	-
PBEH2-90	10	A	VRv2 Mix	T7_initiation_series	7	BsaI-v2	-	+	+	-	-	-	-	-
PBEH2-91	11	A	VR Mix	T7_initiation_series	31	-	-	-	-	-	-	-	-	-
PBEH2-92	11	A	VR Mix	T7_initiation_series	31	-	-	-	+	-	-	-	-	-
PBEH2-93	12	B	VR Mix	T7_initiation_series	31	PsiI-v2	-	-	-	-	-	-	-	-
PBEH2-94	12	B	VR Mix	T7_initiation_series	31	PsiI-v2	-	-	+	-	-	-	-	-
